24,物價
23,CPI
23,指數
18,物價指數
17,消費
14,消費者物價指數
12,價格
9,權數
9,經濟
9,編輯
8,家庭
7,服務
7,產品
7,購買
7,通貨膨脹
6,一個
6,中文
6,台灣
6,商品
6,基本
6,食品
5,上漲
5,中國
5,感受
5,簡體
5,計算
5,變動
5,變化
4,中國大陸
4,交通
4,品價格
4,品和服務
4,基本工資
4,政策
4,統計
4,部連結
4,醫療
4,重要
3,主要
3,個人
3,包括
3,參考
3,反映
3,因此
3,大類
3,娛樂
3,定的
3,差異
3,往往
3,情況
3,指標
3,支出
3,數是
3,會經
3,漲跌
3,物價變動
3,的權數
3,的產品
3,美國
3,調查
3,購買的
3,類別
3,顯示
3,食品價格
3,食物
2,一個能顯示其重要
2,一個類別都有一個
2,一次
2,一般
2,上萬的家庭和個人
2,中華民國統計資訊
2,些權數是通過向成
2,人調查他們購買的
2,他們購買的產品和
2,以使它們與現實情
2,使它們與現實情況
2,個人調查他們購買
2,個能顯示其重要性
2,個類別都有一個能
2,們與現實情況相符
2,們購買的產品和服
2,價格指數
2,價格變
2,內部連結
2,八大類產品
2,其他
2,別都有一個能顯示
2,動的
2,動與
2,務價格
2,千上萬的家庭和個
2,升幅
2,參考文獻
2,各種
2,向成千上萬的家庭
2,和個人調查他們購
2,品及
2,品和服務而確定的
2,商品和服務
2,因素
2,在計算消費者物價
2,基本工資審議委員
2,外部連結
2,多種
2,它們與現實情況相
2,家庭和個人調查他
2,家庭購買
2,容易
2,居住
2,居民
2,市場
2,常有
2,平均
2,年度
2,庭和個人調查他們
2,往往是
2,成千上萬的家庭和
2,成為
2,成衣
2,政策的
2,教育
2,數是通過向成千上
2,是通過向成千上萬
2,月份
2,有一個能顯示其重
2,服務費
2,本工資審議委員會
2,查他們購買的產品
2,核心物價變動率
2,標註
2,權數是通過向成千
2,權數會經常修正
2,權重
2,每一個類別都有一
2,波動
2,消費者物價指數時
2,生產
2,產品和服務而確定
2,的家庭和個人調查
2,的是
2,的物價
2,的產品和服務而確
2,的變化
2,示其重要性的權數
2,種商品
2,穩定
2,算消費者物價指數
2,緊縮
2,總指數
2,能顯示其重要性的
2,與人民感受之差異
2,華民國統計資訊網
2,萬的家庭和個人調
2,薪漲至
2,衣著
2,要的
2,計算方式
2,計算消費者物價指
2,調查他們購買的產
2,財政政策
2,貨幣政策
2,買的產品和服務而
2,費用
2,購買的產品和服務
2,超過
2,這些權數是通過向
2,通過向成千上萬的
2,過向成千上萬的家
2,都有一個能顯示其
2,醫療保健
2,量的
2,頻度
2,類別都有一個能顯
2,顯示其重要性的權
2,食品價格上漲
2,食物類
2,高的